,Name,Radius,Mass,Distance
0,SDSS J000013.54+255418.6 [de],0.99,48,46.1
1,2MASS J08283419-1309198,,,
2,2MASS J00040288-6410358,1.63,19,192
3,LHS 102BC,,,
4,2MASS J00242463-0158201,1.09,79,37.7
5,2MASS J00250365+4759191AB,,,143
6,2MASS J00274197+0503417,1.44,31,236
7,2MASS J00275592+2219328,,,46.9
8,2MASSW J0030300-145033,0.98,54,87.2
9,2MASS J00332386-1521309 [de],1.43,29,131
10,2MASS J00345157+0523050,0.94,42,31
11,2MASS 0036+1821,0.94,42,28.6
12,2MASSW J0045214+163445,1.62,23,57
13,WISEP J004701.06+680352.1 [fr],1.3,12,40
14,2MASS J00501994-3322402 [de],0.94,40,34
15,2MASS J00034227-2822410,,,
16,2MASS J00584253-0651239 [de],1.43,29,96
17,CFBDS J005910.90–011401.3,,23,30
18,2MASSI J0103320+193536,0.98,52,70
19,SDSSp J010752.33+004156.1 [de],0.98,52,51
20,2MASSI J0117474-340325 [de],1.62,20,163
21,2MASS J01415823-4633574 [de],1.61,20,130
22,SDSS J015141.69+124429.6,0.97,47,70
23,DENIS-P J020529.0−115925A,,,65
24,DENIS-P J020529.0−115925B,,,65
25,DENIS-P J020529.0−115925C,,,65
26,SDSS J020742.48+000056.2 [de],0.97,47,111
27,2MASS J02103857-3015313,1.53,15,101
28,2MASS J02340093-6442068,1.62,20,155
29,2MASS J02411151-0326587 [de],1.41,27,152
30,2MASS J02431371−2453298,0.99,33,35
31,LP 771-21,1.08,78,53
32,2MASS J02511327+0047364,,,
33,Teegarden's star,1.27,80,12.578
34,2MASS J02535980+3206373,1.9,65,184
35,WISE J0254+0223,1.9,65,24
36,DEN 0255-4700,0.97,80,16.2
37,2MASS J03185403-3421292 [de],0.97,49,45
38,2MASS J03205965+1854233,1.15,88,47
39,2MASS J03231002-4631237,1.66,23,192
40,SDSS J032553.17+042540.1,0.95,45,59
41,2MASS J03264225-2102057 [de],1.3,18,80
42,2MASS J03284265+2302051 [de],0.98,54,98
43,2MASS J03341218-4953322,1.04,73,27.0
44,LP 944-20,1.43,73,20.9
45,2MASP J0345432+254023,1.05,74,88
46,Teide 1,3.78,55,380
47,2MASS J03510004-0052452,1.27,102,48
48,2MASS J03552337+1133437,1.32,20,29.8
49,DENIS-P J035726.9-441730 [de],,,130
50,2MASS J04151954−0935066,0.95,30,18.6
51,SDSSp J042348.57-041403.5 [de],,,50
52,2MASS J04285096-2253227 [de],1.09,80,85
53,2MASS J04351612-1606574,1.26,100,34
54,2MASS J04362788-4114465,1.97,39,142
55,2MASS J04390101-2353083 [de],0.97,48,29.5
56,2MASS J04414489+2301513,,19,470
57,2MASS J04433764+0002040,1.78,22,82
58,2MASS J04455387-3048204 [de],1.00,64,42
59,2MASS J04510093-3402150 [de],1.04,72,69
60,2MASS J05002100+0330501 [de],1.00,64,44
61,2MASS J05012406-0010452 [de],1.38,21,64
62,2MASS J05160945-0445499 [de],0.97,47,73
